JUCE v5.3.2
Start MalKovChainSequencer
Start analysis
Num Tracks = 1
Start reading MIDI ...
============================================
Read Track: 0
NOTEON: NoteNumber:36 at: 10.400000
NOTEON: NoteNumber:60 at: 10.400000
NOTEON: NoteNumber:42 at: 10.400000
NOTEOFF: NoteNumber:36 at: 10.404167
NOTEON: NoteNumber:50 at: 10.404167
NOTEON: NoteNumber:28 at: 10.404167
NOTEON: NoteNumber:64 at: 10.404167
NOTEOFF: NoteNumber:42 at: 10.408333
NOTEOFF: NoteNumber:28 at: 10.412500
NOTEOFF: NoteNumber:50 at: 10.429167
NOTEON: NoteNumber:50 at: 10.504167
NOTEOFF: NoteNumber:50 at: 10.529167
NOTEOFF: NoteNumber:76 at: 10.562500
NOTEON: NoteNumber:77 at: 10.595833
NOTEON: NoteNumber:42 at: 10.600000
NOTEON: NoteNumber:50 at: 10.604167
NOTEON: NoteNumber:28 at: 10.604167
NOTEOFF: NoteNumber:42 at: 10.608333
NOTEON: NoteNumber:40 at: 10.608333
NOTEOFF: NoteNumber:28 at: 10.612500
NOTEOFF: NoteNumber:40 at: 10.616667
NOTEOFF: NoteNumber:50 at: 10.629167
NOTEOFF: NoteNumber:77 at: 10.654167
NOTEON: NoteNumber:76 at: 10.662500
NOTEON: NoteNumber:50 at: 10.704167
NOTEON: NoteNumber:28 at: 10.704167
NOTEON: NoteNumber:40 at: 10.708333
NOTEOFF: NoteNumber:28 at: 10.712500
NOTEOFF: NoteNumber:40 at: 10.716667
NOTEOFF: NoteNumber:76 at: 10.720833
NOTEOFF: NoteNumber:50 at: 10.729167
NOTEON: NoteNumber:74 at: 10.729167
NOTEOFF: NoteNumber:24 at: 10.750000
NOTEOFF: NoteNumber:60 at: 10.766667
NOTEOFF: NoteNumber:64 at: 10.770833
NOTEOFF: NoteNumber:43 at: 10.783333
NOTEOFF: NoteNumber:36 at: 10.783333
NOTEOFF: NoteNumber:74 at: 10.787500
NOTEON: NoteNumber:38 at: 10.795833
NOTEON: NoteNumber:36 at: 10.795833
NOTEON: NoteNumber:72 at: 10.795833
NOTEON: NoteNumber:29 at: 10.800000
NOTEON: NoteNumber:57 at: 10.800000
NOTEON: NoteNumber:42 at: 10.800000
NOTEON: NoteNumber:48 at: 10.800000
NOTEON: NoteNumber:41 at: 10.800000
NOTEOFF: NoteNumber:38 at: 10.804167
NOTEOFF: NoteNumber:36 at: 10.804167
NOTEON: NoteNumber:50 at: 10.804167
NOTEON: NoteNumber:28 at: 10.804167
NOTEON: NoteNumber:60 at: 10.804167
NOTEOFF: NoteNumber:42 at: 10.808333
NOTEON: NoteNumber:40 at: 10.808333
NOTEOFF: NoteNumber:28 at: 10.812500
NOTEOFF: NoteNumber:40 at: 10.816667
NOTEOFF: NoteNumber:50 at: 10.829167
NOTEOFF: NoteNumber:72 at: 10.895833
NOTEON: NoteNumber:62 at: 10.904167
NOTEOFF: NoteNumber:62 at: 10.929167
NOTEON: NoteNumber:69 at: 10.995833
NOTEON: NoteNumber:42 at: 11.000000
NOTEON: NoteNumber:28 at: 11.004167
NOTEON: NoteNumber:57 at: 11.004167
NOTEOFF: NoteNumber:42 at: 11.008333
NOTEOFF: NoteNumber:28 at: 11.012500
NOTEOFF: NoteNumber:57 at: 11.029167
NOTEOFF: NoteNumber:69 at: 11.095833
NOTEON: NoteNumber:53 at: 11.104167
NOTEON: NoteNumber:28 at: 11.104167
NOTEOFF: NoteNumber:28 at: 11.112500
NOTEOFF: NoteNumber:53 at: 11.129167
NOTEOFF: NoteNumber:29 at: 11.133333
NOTEOFF: NoteNumber:57 at: 11.166667
NOTEOFF: NoteNumber:60 at: 11.170833
NOTEOFF: NoteNumber:48 at: 11.183333
NOTEOFF: NoteNumber:41 at: 11.183333
NOTEON: NoteNumber:74 at: 11.195833
NOTEON: NoteNumber:36 at: 11.195833
NOTEON: NoteNumber:34 at: 11.200000
NOTEON: NoteNumber:58 at: 11.200000
NOTEON: NoteNumber:42 at: 11.200000
NOTEON: NoteNumber:53 at: 11.200000
NOTEON: NoteNumber:46 at: 11.200000
NOTEOFF: NoteNumber:36 at: 11.204167
NOTEON: NoteNumber:46 at: 11.204167
NOTEON: NoteNumber:28 at: 11.204167
NOTEON: NoteNumber:62 at: 11.204167
NOTEOFF: NoteNumber:42 at: 11.208333
NOTEOFF: NoteNumber:28 at: 11.212500
NOTEOFF: NoteNumber:46 at: 11.229167
